Generation,Individus,Average Fitness,Std Fitness,Min Fitness,Max Fitness,Execution Time,Best Individual
0,100,17.8,7.681145747868609,5.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
1,65,13.96,7.14551607653359,5.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
2,55,11.01,5.391650953094053,3.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
3,55,10.9,5.964059020499377,3.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
4,53,10.25,6.766646141183976,1.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
5,51,9.47,6.702917275336163,1.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
6,47,7.43,6.104514722727762,1.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
7,57,7.84,6.461764464912041,1.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
8,53,6.84,6.1460881868063035,1.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
9,67,6.11,5.531536856968414,0.0,25.0,208.30286574363708,(((0 * i) + (v + i)) + (i + 1))
