Generation,Individus,Average Fitness,Std Fitness,Min Fitness,Max Fitness,Execution Time,Best Individual
0,100,8.53,5.555996760258234,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
1,68,9.25,6.411513081948754,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
2,62,7.27,4.244655463049975,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
3,51,8.11,6.3873233830768275,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
4,40,5.71,3.6804755127564697,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
5,49,5.92,5.684505255516965,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
6,51,6.07,5.995423254450015,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
7,41,4.99,4.136411488234699,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
8,55,5.62,4.991552864590337,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
9,50,4.9,3.6373066958946425,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
10,64,5.29,4.594115801762076,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
11,60,5.59,4.992183890843766,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
12,54,5.02,3.6550786585243276,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
13,66,4.63,3.0088369846171465,4.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
14,47,5.28,4.5979995650282515,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
15,67,5.31,4.599336908729345,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
16,57,4.8,3.624913792078371,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
17,55,5.26,4.605692130396907,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
18,56,4.83,3.6470673149806276,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
19,50,4.08,0.7166589146867566,3.0,7.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
20,57,4.74,3.6622943628277613,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
21,57,4.77,3.7009593350913765,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
22,43,4.8,4.214261501141095,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
23,58,5.1,4.714870093650513,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
24,65,4.83,4.2756403029253995,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
25,67,4.77,3.7969856465359464,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
26,47,4.13,2.4562369592529136,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
27,48,4.49,3.8483632884643306,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
28,49,4.99,4.788517515891531,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
29,45,4.25,3.824591481452627,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
30,49,4.28,3.8342665530711346,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
31,54,5.31,5.556428709162028,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
32,49,4.57,3.8891001529916918,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
33,46,4.84,4.795247647410925,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
34,53,4.44,3.8763900732511427,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
35,58,5.2,5.184592558726288,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
36,49,3.84,2.390481123121453,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
37,64,4.43,3.247321973565295,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
38,56,4.99,4.775971105440232,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
39,67,4.49,2.555366901249212,3.0,25.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
40,52,3.93,1.3656866404852908,3.0,7.0,391.8662223815918,(((5 - (5 + j)) + i) + 5)
